"","CombinationLabel","Sub","Category","Avg_V4_dis_L2","Avg_V2_dis_L2","Avg_V1_dis_L2","Avg_IT_dis_L2","Avg_V4_dis_Cosine","Avg_V2_dis_Cosine","Avg_V1_dis_Cosine","Avg_IT_dis_Cosine","Avg_CHOICERIGHT","Avg_Accuracy","Avg_PWDis","Avg_SL_Dis","Avg_SP_Dis","Avg_AE_Dis","Avg_AR_Dis","Avg_Sym_Dis","Avg_Symbol_Dis","Avg_FSymbol_Dis","Avg_HU_Dis"
"703","quad6-quad6-quad4","Pico","IRREG",-3.015795,1.49973399999999,1.13840999999999,-11.973964,-0.0323207400000001,0.00585776000000005,0.00134793999999994,-0.1181274,0.5,0.5,-0.00263314689112007,-4,-1,-1,-2,0,-8,-8,17.7618029566947
"704","quad6-quad6-quad4","Sabina","IRREG",-3.015795,1.49973399999999,1.13840999999999,-11.973964,-0.0323207400000001,0.00585776000000005,0.00134793999999994,-0.1181274,0.615384615384615,0.384615384615385,-0.00263314689112007,-4,-1,-1,-2,0,-8,-8,17.7618029566947
"705","quad6-quad6-quad4","beyonce","IRREG",-3.015795,1.49973399999999,1.13840999999999,-11.973964,-0.0323207400000001,0.00585776000000005,0.00134793999999994,-0.1181274,0.296296296296296,0.703703703703704,-0.00263314689112007,-4,-1,-1,-2,0,-8,-8,17.7618029566947
"706","quad6-quad6-quad4","gaga","IRREG",-3.015795,1.49973399999999,1.13840999999999,-11.973964,-0.0323207400000001,0.00585776000000005,0.00134793999999994,-0.1181274,0.851851851851852,0.148148148148148,-0.00263314689112007,-4,-1,-1,-2,0,-8,-8,17.7618029566947
"707","quad6-quad6-quad4","rihanna","IRREG",-3.015795,1.49973399999999,1.13840999999999,-11.973964,-0.0323207400000001,0.00585776000000005,0.00134793999999994,-0.1181274,0.0416666666666667,0.958333333333333,-0.00263314689112007,-4,-1,-1,-2,0,-8,-8,17.7618029566947
"708","quad6-quad6-quad7","Kalamata","IRREG",-2.54440632352942,-1.41249035294117,-1.67894882352944,-5.49264217647055,-0.0234071785294121,-0.00486611382352941,-0.00383446176470592,-0.0407433182352934,0.550173010380623,0.449826989619377,-0.00220707021262546,0,0,0,0,0,0,0,24.0258007981763
"709","quad6-quad6-quad7","Olivella","IRREG",-2.70533886956522,-1.57564050434783,-1.91099434782608,-5.67315159130435,-0.0253591467826088,-0.00636953069565213,-0.00481403260869563,-0.0429205262608695,0.4,0.6,-0.00256021692959892,0,0,0,0,0,0,0,22.6930923472634
"710","quad6-quad6-quad7","Pico","IRREG",-2.5035334375,-1.37105425000001,-1.620015,-5.44679724999999,-0.0229114268750001,-0.00448428312499994,-0.00358567499999998,-0.04019036125,0.375,0.625,-0.00211737968159198,0,0,0,0,0,0,0,24.3642757801881
"711","quad6-quad6-quad7","Sabina","IRREG",-2.72191142857143,-1.59244142857144,-1.93489,-5.69174014285713,-0.0255601571428572,-0.00652434999999996,-0.00491490714285712,-0.0431447314285714,0.457142857142857,0.542857142857143,-0.00259658337597075,0,0,0,0,0,0,0,22.5558523048674
"712","quad6-quad6-quad7","beyonce","IRREG",-2.13982342105264,-1.00233241148326,-1.0955885645933,-5.03884321052633,-0.0184999487559809,-0.00108653799043053,-0.00137182990430619,-0.035269837799043,0.22488038277512,0.77511961722488,-0.00131926269778323,0,0,0,0,0,0,0,27.3762172708373
